,Place of interest,Type of place,Place address,BiciMAD Station,Station Location,Bikes Available,Distance (m),Walking time (min)
0,A Neruda-El Ser alado,Monumento de la ciudad de Madrid,Gta José Luis Ozores 116,"433 - Calle de Villalobos, 28","Calle de Villalobos, 28,",3,186,2
1,A las víctimas del Holocausto,Monumento de la ciudad de Madrid,JARDIN TRES CULTURAS ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,1224,15
2,A los Abuelos,Monumento de la ciudad de Madrid,C Alicún ,"525 - Calle de Bacares, 20","Calle de Bacares, 20,",5,357,4
3,AICO,Monumento de la ciudad de Madrid,Pza Colón ,106b - Colón B,Calle Serrano nº 34,2,202,2
4,Abogados Laboristas,Monumento de la ciudad de Madrid,C Atocha 55,41 - Antón Martín,Calle Atocha nº 54,1,127,1
5,Abstracta I,Monumento de la ciudad de Madrid, ,185 - Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra,3,381,4
6,Abstracta II,Monumento de la ciudad de Madrid, ,185 - Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra,3,356,4
7,Abundancia,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 137,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7,276,3
8,Academia de Farmacia,Monumento de la ciudad de Madrid,C Farmacia 9,6 - Colegio Arquitectos,Calle Hortaleza nº 63,4,143,1
9,Acueducto y rejas sobre el arroyo del Barranco de la Zorra,Monumento de la ciudad de Madrid,CAMINO HUMERA ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,3561,44
10,Ad Iesum per Mariam,Monumento de la ciudad de Madrid,AVENIDA MACHUPICHU 1,"499 - Calle Alcala, 590","Calle Alcala, 590,",9,1615,20
11,Adelardo Ortiz de Pinedo,Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,567,7
12,Adhesión de España a la Comunidad Europea,Monumento de la ciudad de Madrid,PLAZA PROVINCIA 1,40 - Conde de Romanones,Plaza del Conde de Romanones nº 9,1,138,1
13,"Agricultor, agricultura y progreso",Monumento de la ciudad de Madrid,Avda Complutense ,258 - Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria),1,332,4
14,"Agricultor, agricultura y progreso",Monumento de la ciudad de Madrid,C Principal de Provincias ,"326 - Calle Francisco de Tejada, 1","Calle Francisco de Tejada, 1,",4,353,4
15,"Agricultor, agricultura y progreso",Monumento de la ciudad de Madrid,PASEO CASTELLANA 101,153 - General Perón con Poeta Joan Maragall,"Avenida del General Perón frente al nº 36,",4,306,3
16,Agustín Argüelles,Monumento de la ciudad de Madrid,Pza Marqués de Cerralbo ,115 - Ferraz,"Calle Evaristo San Miguel nº 2,",8,44,0
17,Agustín Lara,Monumento de la ciudad de Madrid,C Sombrerete 15,43 - Jesús y María,Calle Lavapiés nº 34,2,268,3
18,Agustín Rodríguez Sahagún,Monumento de la ciudad de Madrid,PARQUE AGUSTIN RODRIGUEZ SAHAGUN ,"304 - Calle Valle de Mena, 5","Calle Valle de Mena, 5,",5,409,5
19,Agustín de Foxá,Monumento de la ciudad de Madrid,C Ibiza 1,181 - Retiro-Ibiza,"Calle Ibiza nº 18,",1,225,2
20,Al Bombero,Monumento de la ciudad de Madrid,Avda Poblados ,"324 - Calle de las Higueras, 49","Calle de las Higueras, 49,",13,2885,36
21,Al Libro,Monumento de la ciudad de Madrid,Pº Recoletos ,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,3,34,0
22,Al Maestro,Monumento de la ciudad de Madrid, ,112 - Paseo de Moret,Paseo de Moret nº 11,2,319,3
23,Al Niño,Monumento de la ciudad de Madrid,AVENIDA ALBERTO ALCOCER 1,157b- Castellana 164,"Paseo de la Castellana nº 164,Comunidad de Madrid España",1,66,0
24,Al Pueblo del Dos de Mayo de 1808,Monumento de la ciudad de Madrid,Pza España ,116a - Plaza de España A,Calle Princesa nº 5,3,214,2
25,Al Siglo XXI,Monumento de la ciudad de Madrid,AVENIDA CANILLEJAS A VICALVARO 159,"504 - Calle de San Roman del Valle, 20","Calle de San Roman del Valle, 20,",3,1374,17
26,Al Viejo Profesor,Monumento de la ciudad de Madrid,Avda Eduardo Barreiros 17,"383 - Avenida de la Perla, 35","Avenida de la Perla, 35,",2,162,2
27,Al otro lado del muro,Monumento de la ciudad de Madrid,Pº Castellana 41,190 - Velázquez-Diego de León,Calle Velázquez nº 91,2,437,5
28,Albercas-acequias del Jardín Islámico,Monumento de la ciudad de Madrid,JARDIN TRES CULTURAS ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,1224,15
29,Alberto Aguilera,Monumento de la ciudad de Madrid,CALLE MAGDALENA 6,43 - Jesús y María,Calle Lavapiés nº 34,2,248,3
30,Alejandro Busuioceanu,Monumento de la ciudad de Madrid,C General Pardiñas 32,91 - Príncipe de Vergara,"Calle Hermosilla nº 70,",2,57,0
31,Alejandro Muñoz Revenga,Monumento de la ciudad de Madrid,CALLE MELENDEZ VALDES 1,127 - Fernando el Católico,Calle Fernando el Católico nº 19,4,147,1
32,Alexandr Pushkin,Monumento de la ciudad de Madrid,PARQUE QUINTA FUENTE DEL BERRO ,185 - Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra,3,82,1
33,Alfonso R. Castelao,Monumento de la ciudad de Madrid, ,242 - Avenida Bruselas,Avenida Bruselas nº 56,3,436,5
34,Alfonso VI,Monumento de la ciudad de Madrid, ,36 - Plaza Ramales,Plaza de Ramales,1,401,5
35,Alfonso VIII,Monumento de la ciudad de Madrid, ,36 - Plaza Ramales,Plaza de Ramales,1,414,5
36,Alfonso X El Sabio,Monumento de la ciudad de Madrid,JARDINES SABATINI ,116a - Plaza de España A,Calle Princesa nº 5,3,238,2
37,Alfonso X El Sabio,Monumento de la ciudad de Madrid,PASEO RECOLETOS 20,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,3,25,0
38,Alfonso XII,Monumento de la ciudad de Madrid,PASEO CHILE ,102 - Velázquez,Calle Alcalá nº 95,1,448,5
39,Alfonso XIII,Monumento de la ciudad de Madrid,Avda Complutense ,260 - Facultad Biología,Calle José Antonio Novais frente al nº 12,2,98,1
40,Alférez Provisional,Monumento de la ciudad de Madrid,CALLE FELIPE IV 1,68 - Espalter,Calle Espalter nº 1,1,311,3
41,Almirante Miguel Grau,Monumento de la ciudad de Madrid, ,"570 - Calle Arzobispo Morcillo, 6","Calle Arzobispo Morcillo, 6,",2,241,3
42,Almudena,Monumento de la ciudad de Madrid,C Castelló 77,186 - General Pardiñas,Calle General Pardiñas nº 56,3,387,4
43,Alonso I,Monumento de la ciudad de Madrid,PLAZA ORIENTE 1,36 - Plaza Ramales,Plaza de Ramales,1,96,1
44,Alonso I El Batallador,Monumento de la ciudad de Madrid,Pº República Argentina ,65 - Antonio Maura,Calle Antonio Maura nº 15,1,403,5
45,Alonso II,Monumento de la ciudad de Madrid,Pza Oriente ,36 - Plaza Ramales,Plaza de Ramales,1,105,1
46,Alonso III,Monumento de la ciudad de Madrid,Pza Oriente ,24 - Palacio de Oriente,Calle Carlos III nº 1,1,171,2
47,Alonso V,Monumento de la ciudad de Madrid,Pza Oriente ,24 - Palacio de Oriente,Calle Carlos III nº 1,1,218,2
48,Altar Parque de Roma,Monumento de la ciudad de Madrid,C Juan Esplandiú ,182 - Parque Roma,Calle Alcalde Sáinz de Baranda frente al nº 107,2,474,5
49,Amado Nervo,Monumento de la ciudad de Madrid,C Bailén 15,24 - Palacio de Oriente,Calle Carlos III nº 1,1,316,3
50,Amigos,Monumento de la ciudad de Madrid,Pza Alfredo Mahou de la Fuente ,190 - Velázquez-Diego de León,Calle Velázquez nº 91,2,216,2
51,América,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 133,203 - San Francisco de Sales,Calle General Ampudia nº 2,1,242,3
52,Amós Acero,Monumento de la ciudad de Madrid, ,"429 - Calle de Carlos Martin Alvarez, 38","Calle de Carlos Martin Alvarez, 38,",3,271,3
53,Ana Tutor,Monumento de la ciudad de Madrid,Avda Ventisquero de la Condesa ,"571 - Calle Melchor Fernandez Almagro, 80","Calle Melchor Fernandez Almagro, 80,",6,1272,15
54,Ancla,Monumento de la ciudad de Madrid,C Arturo Soria 271,"534 - Calle de Mesena, 102","Calle de Mesena, 102,",6,434,5
55,Anclas,Monumento de la ciudad de Madrid,C Manuel Alonso ,"304 - Calle Valle de Mena, 5","Calle Valle de Mena, 5,",5,8862,110
56,Andrés Bello,Monumento de la ciudad de Madrid,PARQUE DEHESA DE LA VILLA ,"309 - Calle Ofelia Nieto, 75","Calle Ofelia Nieto, 75,",1,637,7
57,Andrés Eloy Blanco,Monumento de la ciudad de Madrid,Pº Venezuela ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,537,6
58,Andrés Segovia,Monumento de la ciudad de Madrid,PLAZA ANDRES SEGOVIA 1,146 - María Francisca 1,"Calle María Francisca nº 3,",3,137,1
59,Andrómaca,Monumento de la ciudad de Madrid,PASEO RECOLETOS 1,86 - Cibeles,Plaza Cibeles,2,164,2
60,Anfiteatro del parque Cuña Verde de Vicálvaro,Monumento de la ciudad de Madrid,CALLE CASALARREINA 3,"501 - Hermanos Garcia Noblejas, 133","Hermanos Garcia Noblejas, 133,",15,1868,23
61,Anfiteatro del parque del Manzanares,Monumento de la ciudad de Madrid,Cmno Perales s/n,"265 - Calle Puerto Serrano, 1","Calle Puerto Serrano, 1,",2,764,9
62,Antigua Fuente de las Delicias,Monumento de la ciudad de Madrid, ,192 - Avenida de los Toreros,Avenida de los Toreros nº 3,2,329,4
63,Antigua Iglesia y Hospital del Buen Suceso,Monumento de la ciudad de Madrid, ,33 - Carretas,Calle Carretas nº 8,1,68,0
64,Antigua pastelería del Pozo,Monumento de la ciudad de Madrid,C Pozo 8,33 - Carretas,Calle Carretas nº 8,1,211,2
65,"Antonia Mercé, la Argentina",Monumento de la ciudad de Madrid,C Ave María 8,41 - Antón Martín,Calle Atocha nº 54,1,151,1
66,Antonio Bienvenida,Monumento de la ciudad de Madrid,C Alcalá 231,187 - Alcalá-Ventas,Calle Alejandro González nº 1,3,183,2
67,Antonio Bienvenida,Monumento de la ciudad de Madrid,C Alcalá 231,187 - Alcalá-Ventas,Calle Alejandro González nº 1,3,238,2
68,Antonio Cánovas del Castillo,Monumento de la ciudad de Madrid,Pza Marina Española ,116a - Plaza de España A,Calle Princesa nº 5,3,348,4
69,Antonio Lleó de la Viña,Monumento de la ciudad de Madrid,PARQUE CASA DE CAMPO ,261 - Facultad Derecho,Avenida Complutense nº 23,2,3660,45
70,Antonio Machado,Monumento de la ciudad de Madrid,C Antonio Machado 55,"304 - Calle Valle de Mena, 5","Calle Valle de Mena, 5,",5,473,5
71,Antonio Machado,Monumento de la ciudad de Madrid,CALLE GENERAL ARRANDO 4,124 - Manuel Silvela,Calle Manuel Silvela nº 20,1,293,3
72,Antonio Machado,Monumento de la ciudad de Madrid,CALLE SAN ROMAN DEL VALLE 8,"501 - Hermanos Garcia Noblejas, 133","Hermanos Garcia Noblejas, 133,",15,305,3
73,Antonio Maura,Monumento de la ciudad de Madrid,C Antonio Maura 18,65 - Antonio Maura,Calle Antonio Maura nº 15,1,51,0
74,Antonio Mingote,Monumento de la ciudad de Madrid,Pza Cristino Martos 5,14 - Ventura Rodríguez,"Ventura Rodriguez, 2,",1,173,2
75,Antonio Paso Cano,Monumento de la ciudad de Madrid,C Apodaca 9,54 - Barceló,"Calle Barceló nº 7,",1,97,1
76,Antonio Zozaya,Monumento de la ciudad de Madrid,Pza General Vara del Rey 14,39 - Plaza de la Cebada,Plaza de la Cebada nº 16 ,3,214,2
77,Antonio de Andrés Martínez,Monumento de la ciudad de Madrid,PLAZA DON ANTONIO DE ANDRES 1,"438 - Calle Enrique Garcia Alvarez, 5","Calle Enrique Garcia Alvarez, 5,",4,2547,31
78,Antorcha,Monumento de la ciudad de Madrid,Avda General Fanjul 14,"324 - Calle de las Higueras, 49","Calle de las Higueras, 49,",13,3795,47
79,Antorcha,Monumento de la ciudad de Madrid,BARRIO CIUDAD UNIVERSITARIA ,258 - Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria),1,527,6
80,Apeadero de Pavones,Monumento de la ciudad de Madrid, ,221 - Pavones,Calle Hacienda de Pavones nº 342,9,522,6
81,Arco de Moncloa,Monumento de la ciudad de Madrid, ,111a - Arcipreste de Hita A,Calle Arcipreste de Hita nº 12,3,382,4
82,Arcángel San Miguel,Monumento de la ciudad de Madrid,C Costa del Sol 1,"524 - Glorieta Luis Rosales, sn","Glorieta Luis Rosales, sn,",1,601,7
83,Armando Palacio Valdés,Monumento de la ciudad de Madrid,CALLE MALDONADO 25,190 - Velázquez-Diego de León,Calle Velázquez nº 91,2,148,1
84,Artieda y Labiano,Monumento de la ciudad de Madrid,C Navas de Tolosa 10,22 - Jacometrezo,Calle Jacometrezo nº 3,1,109,1
85,Arturo Duperier Vallesa,Monumento de la ciudad de Madrid,CALLE VIRGEN DEL PORTILLO 37,229 - C.D. Concepción,Calle Jose del Hierro nº 5,4,188,2
86,Arturo Pajuelo Rubio,Monumento de la ciudad de Madrid,Pza Sestao ,"386 - Avenida de los Poblados, 130","Avenida de los Poblados, 130,",3,372,4
87,Arturo Soria y Mata,Monumento de la ciudad de Madrid,C Arturo Soria ,"481 - Diego Ayllon, 2","Diego Ayllon, 2,",11,357,4
88,Asilo de Inválidos,Monumento de la ciudad de Madrid,C Arnedo 22,350 - Calle de Ervigio,"Calle de Ervigio,",17,1617,20
89,Ataulfo,Monumento de la ciudad de Madrid,Pza Oriente ,36 - Plaza Ramales,Plaza de Ramales,1,137,1
90,Atentado boda real Alfonso XIII,Monumento de la ciudad de Madrid,C Mayor 79,36 - Plaza Ramales,Plaza de Ramales,1,202,2
91,Atentados 11-M,Monumento de la ciudad de Madrid,Pza Puerta del Sol 7,33 - Carretas,Calle Carretas nº 8,1,62,0
92,Atletas,Monumento de la ciudad de Madrid,C Clara Campoamor 10,"352 - Calle Algorta, 2","Calle Algorta, 2,",3,1248,15
93,Atletas,Monumento de la ciudad de Madrid,CALLE SERRANO 127,250 - Serrano 113,Calle Serrano nº 113B,1,115,1
94,Atrio de la ermita de San Isidro,Monumento de la ciudad de Madrid,Pº Ermita del Santo 78,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48,1,705,8
95,Auditorio del parque Enrique Tierno Galván,Monumento de la ciudad de Madrid,PARQUE ENRIQUE TIERNO GALVAN ,"269 - Calle Ariel, 7","Calle Ariel, 7,",3,634,7
96,Augusto d'Halmar,Monumento de la ciudad de Madrid,CALLE LORETO Y CHICOTE 8,17 - Carlos Cambronero,Plaza de Carlos Cambronero nº 2,1,182,2
97,Aula de informática Reina Sofía,Monumento de la ciudad de Madrid,C Camino de la Arboleda ,"437 - C Sierra de Guadalupe, 11","C Sierra de Guadalupe, 11,",8,1096,13
98,Ave Fénix,Monumento de la ciudad de Madrid,PASEO CASTELLANA 33,198 - Rubén Darío,Glorieta Rubén Darío 2,1,284,3
99,Avenida Reyes Católicos,Monumento de la ciudad de Madrid,Pza San Francisco el Grande 1,37 - Plaza de San Francisco,Plaza de San Francisco nº 5,3,53,0
100,Azorín,Monumento de la ciudad de Madrid,C Zorrilla 21,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25,3,70,0
101,Azorín,Monumento de la ciudad de Madrid,Gta Azorín ,167 - Segovia 45,Calle Segovia nº 45,22,174,2
102,Baco,Monumento de la ciudad de Madrid,PARQUE ALAMEDA DE OSUNA ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,381,4
103,Baco y Pomona en el jardín de la Quinta del duque del Arco,Monumento de la ciudad de Madrid,MONTE EL PARDO ,261 - Facultad Derecho,Avenida Complutense nº 23,2,12287,153
104,Baden Powell,Monumento de la ciudad de Madrid,Ctra Zarzón ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,1498,18
105,Baldomero Fernández Espartero,Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,610,7
106,Baltasar Bachero,Monumento de la ciudad de Madrid,C Salitre 34,42 - Santa Isabel,"Calle Atocha nº 95,",2,207,2
107,Banda en los círculos,Monumento de la ciudad de Madrid, ,"385 - Calle Campotejar , 25","Calle Campotejar , 25,",2,663,8
108,Barrendero madrileño,Monumento de la ciudad de Madrid,Pza Jacinto Benavente ,34 - Jacinto Benavente,Plaza de Jacinto Benavente,1,17,0
109,Batalla de Lepanto,Monumento de la ciudad de Madrid,C Lepanto 2,36 - Plaza Ramales,Plaza de Ramales,1,40,0
110,Beata Maria Ana de Jesús,Monumento de la ciudad de Madrid,C Valverde 15,211 - Desengaño,Calle Desengaño nº 1,1,103,1
111,Beatriz Galindo 'La Latina',Monumento de la ciudad de Madrid,Pza Puerta del Ángel ,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4,11,65,0
112,Beethoven,Monumento de la ciudad de Madrid,PARQUE BERLIN ,197 - Parque Berlín,"Avenida de Concha Espina nº 34,",10,240,3
113,Berenguela,Monumento de la ciudad de Madrid,Pº República Argentina ,65 - Antonio Maura,Calle Antonio Maura nº 15,1,398,4
114,Bernardino de Obregón,Monumento de la ciudad de Madrid,C Bernardino Obregón 1,48 - Embajadores 2,Glorieta de Embajadores nº 2,3,196,2
115,Bernardo López García,Monumento de la ciudad de Madrid,C Bernardo López Garcia 9,15 - San Vicente Ferrer,Calle San Vicente Ferrer nº 64,1,272,3
116,Berruguete,Monumento de la ciudad de Madrid,C Serrano 13,95 - Villanueva,Calle Claudio Coello nº 109,1,198,2
117,Blanca de los Ríos,Monumento de la ciudad de Madrid,C Jorge Juan 7,106b - Colón B,Calle Serrano nº 34,2,136,1
118,Blas Lázaro e Ibiza,Monumento de la ciudad de Madrid,Pza Ramón y Cajal 2,258 - Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria),1,236,2
119,Botica de José Ortega Hernández,Monumento de la ciudad de Madrid,C Montera 17,56 - Plaza del Carmen ,Plaza del Carmen nº 1,1,76,0
120,Botica de la Reina Madre,Monumento de la ciudad de Madrid,C Mayor 59,9 - Plaza de San Miguel,Plaza de San Miguel nº 9,2,24,0
121,Bravo Murillo,Monumento de la ciudad de Madrid,CALLE BRAVO MURILLO 49,200 - Quevedo,Glorieta de Quevedo nº 5,4,43,0
122,Britannia,Monumento de la ciudad de Madrid,C Guzmán el Bueno 133,203 - San Francisco de Sales,Calle General Ampudia nº 2,1,230,2
123,Burrito,Monumento de la ciudad de Madrid,C Pío Felipe 12,"426 - Calle Humanes, 3","Calle Humanes, 3,",8,298,3
124,Busto Pablo Neruda,Monumento de la ciudad de Madrid,Avda Pablo Neruda 40,"416 - Calle Ramirez Tome, 31","Calle Ramirez Tome, 31,",14,263,3
125,Bustos de emperadores romanos del jardín de la Quinta del duque del Arco,Monumento de la ciudad de Madrid,MONTE EL PARDO ,261 - Facultad Derecho,Avenida Complutense nº 23,2,12287,153
126,Bárbara de Braganza,Monumento de la ciudad de Madrid,Pza Villa de París ,26 - Plaza de las Salesas,"Plaza de las Salesas 7,",6,247,3
127,Cabeza olmeca,Monumento de la ciudad de Madrid,Avda del Ensanche de Vallecas 13,"437 - C Sierra de Guadalupe, 11","C Sierra de Guadalupe, 11,",8,1233,15
128,Cabo Luis Noval,Monumento de la ciudad de Madrid, ,24 - Palacio de Oriente,Calle Carlos III nº 1,1,211,2
129,Calderón de la Barca,Monumento de la ciudad de Madrid,C Mayor 61,9 - Plaza de San Miguel,Plaza de San Miguel nº 9,2,46,0
130,Calle de Milaneses,Monumento de la ciudad de Madrid,C Milaneses 1,9 - Plaza de San Miguel,Plaza de San Miguel nº 9,2,29,0
131,Calle de Santiago,Monumento de la ciudad de Madrid,C Santiago 6,9 - Plaza de San Miguel,Plaza de San Miguel nº 9,2,88,1
132,Callejón de Jorge Juan,Monumento de la ciudad de Madrid,C Jorge Juan 14,95 - Villanueva,Calle Claudio Coello nº 109,1,142,1
133,Camilo José Cela,Monumento de la ciudad de Madrid,C Alcalá 185,101 - Jorge Juan,Calle Jorge Juan nº 131,2,500,6
134,Camilo José Cela,Monumento de la ciudad de Madrid,C Claudio Coello 91,87 - Ayala,Calle Ayala nº 44,8,442,5
135,Camilo José Cela,Monumento de la ciudad de Madrid,Pza Menéndez Pelayo ,261 - Facultad Derecho,Avenida Complutense nº 23,2,174,2
136,Campana de La Paz,Monumento de la ciudad de Madrid,Pza San Andrés 1,38 - Plaza de los Carros,"Carrera de San Francisco nº 1,",1,101,1
137,Campana de la plaza Mercurio,Monumento de la ciudad de Madrid,Pza Mercurio ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,3175,39
138,Campoamor,Monumento de la ciudad de Madrid,C Recoletos 17,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,3,230,2
139,Campoamor,Monumento de la ciudad de Madrid,PARQUE RETIRO ,97 - Alcalá,Avenida de Menéndez Pelayo nº 3,3,167,2
140,Canal del parque Juan Carlos I,Monumento de la ciudad de Madrid, ,"499 - Calle Alcala, 590","Calle Alcala, 590,",9,1576,19
141,Canalejas y Méndez,Monumento de la ciudad de Madrid,Pza Puerta del Sol 6,33 - Carretas,Calle Carretas nº 8,1,12,0
142,Canillejas,Monumento de la ciudad de Madrid,Pza Mora de Rubielos 4,"499 - Calle Alcala, 590","Calle Alcala, 590,",9,178,2
143,Capiteles Paseo del Prado,Monumento de la ciudad de Madrid,Pº Prado ,67 - Almadén,Calle Almadén nº 28,7,101,1
144,Capitán Ángel Melgar,Monumento de la ciudad de Madrid, ,36 - Plaza Ramales,Plaza de Ramales,1,149,1
145,Carabela Santa María,Monumento de la ciudad de Madrid,AVENIDA VICTORIA 2,261 - Facultad Derecho,Avenida Complutense nº 23,2,9821,122
146,Cardenal Cisneros,Monumento de la ciudad de Madrid,CALLE CARDENAL CISNEROS 2,5 - Fuencarral,"Calle Fuencarral nº 108,",4,165,2
147,Carlos Arniches,Monumento de la ciudad de Madrid,C Carlos Arniches 31,163 - Paseo de la Esperanza,Paseo de la Esperanza nº 2,2,429,5
148,Carlos Arniches,Monumento de la ciudad de Madrid,CALLE MONTE ESQUINZA 1,104 - Castellana,Paseo de la Castellana nº 4,1,324,4
149,Carlos I de España y V de Alemania,Monumento de la ciudad de Madrid,Pº República Argentina ,65 - Antonio Maura,Calle Antonio Maura nº 15,1,195,2
150,Carlos II,Monumento de la ciudad de Madrid,Pº República Argentina ,65 - Antonio Maura,Calle Antonio Maura nº 15,1,237,2
151,Carlos III,Monumento de la ciudad de Madrid,Pza Puerta del Sol ,33 - Carretas,Calle Carretas nº 8,1,75,0
152,Carlos Ibáñez de Ibero,Monumento de la ciudad de Madrid,CALLE GENERAL IBAÑEZ DE IBERO 1,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7,398,4
153,Carlos Lezcano,Monumento de la ciudad de Madrid,C Rollo 3,35 - Plaza del Cordón,Plaza del Cordón,2,84,1
154,Carlos Linneo (Carl von Linne),Monumento de la ciudad de Madrid,Pza Murillo 2,69 - Puerta del Ángel Caído,Avenida de Alfonso XII nº 54,2,199,2
155,Carlos María Rodríguez de Valcárcel,Monumento de la ciudad de Madrid,Pza Encuentro 4,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,1,170,2
156,Carlos Moreno,Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,577,7
157,Carlos y Guillermo Fernández-Shaw,Monumento de la ciudad de Madrid,C Carlos y Guillermo Fernández Shaw ,82 - Niño Jesús,Calle Doctor Esquerdo nº 161,8,250,3
158,Carnicer Betllé Ramón,Monumento de la ciudad de Madrid,CALLE SANTA ISABEL 38,42 - Santa Isabel,"Calle Atocha nº 95,",2,73,0
159,Carolus III Hispaniarum Rex,Monumento de la ciudad de Madrid, ,24 - Palacio de Oriente,Calle Carlos III nº 1,1,366,4
160,Casa de la Panadería,Monumento de la ciudad de Madrid,Pza Mayor 27,31 - Calle Mayor,Calle Mayor nº 20,2,102,1
161,Casa de la Panadería,Monumento de la ciudad de Madrid,Pza Mayor 27,31 - Calle Mayor,Calle Mayor nº 20,2,70,0
162,Casa del Pescador del Retiro,Monumento de la ciudad de Madrid,Pº Duque de Fernán Núñez ,85 - Puerta de Madrid,"Avenida de Menéndez Pelayo, 9,",5,147,1
163,Castilla,Monumento de la ciudad de Madrid,CALLE CASTELLO 77,186 - General Pardiñas,Calle General Pardiñas nº 56,3,398,4
164,Cavanilles,Monumento de la ciudad de Madrid,Pza Murillo 2,81 - Cuesta de Moyano,Cuesta de Claudio Moyano,1,157,1
165,Caídos de Chamartin de la Rosa,Monumento de la ciudad de Madrid,PLAZA DUQUE DE PASTRANA 1,"286 - Plaza Duque Pastrana, 1","Plaza Duque Pastrana, 1,",9,19,0
166,Caídos del Cuartel de la Montaña,Monumento de la ciudad de Madrid,C Ferraz ,115 - Ferraz,"Calle Evaristo San Miguel nº 2,",8,134,1
167,Cañas silbadoras,Monumento de la ciudad de Madrid,CALLE CEA BERMUDEZ 50,128 - Cea Bermúdez,"Calle Cea Bermúdez nº 59,",2,243,3
168,Cecilio Rodríguez,Monumento de la ciudad de Madrid, ,74 - Puerta del Pacífico ,"Avenida de Menéndez Pelayo nº 69,",14,175,2
169,"Cementerio de la Florida, recinto y capilla",Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,604,7
170,Centenario de la primera sesión de cine,Monumento de la ciudad de Madrid,Ctra San Jerónimo 32,28 - Sevilla,Calle Alcalá nº 27,1,194,2
171,Centenario del Hospital Central de la Defensa,Monumento de la ciudad de Madrid,GLORIETA EJERCITO 1,"323 - Calle Gallur, 5","Calle Gallur, 5,",7,1577,19
172,Centro Básico de Servicios Sociales y 3ª Edad,Monumento de la ciudad de Madrid,C Villalonso 12,"385 - Calle Campotejar , 25","Calle Campotejar , 25,",2,2040,25
173,Centro Cultural Antonio Machado,Monumento de la ciudad de Madrid,CALLE SAN ROMAN DEL VALLE 8,"501 - Hermanos Garcia Noblejas, 133","Hermanos Garcia Noblejas, 133,",15,305,3
174,Centro Cultural Remonta,Monumento de la ciudad de Madrid,PLAZA REMONTA 12,207 - Remonta,"Calle Azucenas nº 1,",6,52,0
175,Centro Cultural San Cristóbal de los Ángeles,Monumento de la ciudad de Madrid,Pza Pinazo 9,"397 - Calle de Moreja, 30","Calle de Moreja, 30,",1,2986,37
176,Centro Cultural San Juan Bautista,Monumento de la ciudad de Madrid,C San Nemesio 4,"479 - Angel Muñoz, 1","Angel Muñoz, 1,",12,372,4
177,Centro Cultural Ágata,Monumento de la ciudad de Madrid,Pza Ágata 2,"385 - Calle Campotejar , 25","Calle Campotejar , 25,",2,2375,29
178,Centro Integrado Teresa de Calcuta,Monumento de la ciudad de Madrid,Pza Navío ,"500 - Calle Aracne, 17","Calle Aracne, 17,",6,1166,14
179,Centro Juvenil Miguel de Cervantes,Monumento de la ciudad de Madrid,CALLE FENELON 6,"517 - Calle San Mariano, 58","Calle San Mariano, 58,",8,478,5
180,Centro Tercera Edad,Monumento de la ciudad de Madrid,C Jerte ,37 - Plaza de San Francisco,Plaza de San Francisco nº 5,3,105,1
181,Centro de Educación Especial Reina Sofía,Monumento de la ciudad de Madrid,Ctra Canillas 51,"523 - Calle de la Carretera de Canillas, 40","Calle de la Carretera de Canillas, 40,",14,608,7
