,Place of interest,Type of place,Place address,BiciMAD Station,Station Location,Bikes Available,Distance (m),Walking time (min)
1623,Rey astur-leonés (probablemente Fruela I),Monumento de la ciudad de Madrid,C Méndez Núñez 1,65 - Antonio Maura,Calle Antonio Maura nº 15,1,162,2
1624,Rey godo anterior a Leovigildo,Monumento de la ciudad de Madrid,C Méndez Núñez 1,65 - Antonio Maura,Calle Antonio Maura nº 15,1,153,1
1625,Ricardo Codorníu,Monumento de la ciudad de Madrid,Pº Julio Romero de Torres ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,457,5
1626,Ricardo Villa,Monumento de la ciudad de Madrid,Trav Bringas 1,9 - Plaza de San Miguel,Plaza de San Miguel nº 9,2,105,1
1627,Ricardo de la Vega,Monumento de la ciudad de Madrid,Ctra Fernanflor 8,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25,3,51,0
1628,Roberto Domingo,Monumento de la ciudad de Madrid,PARQUE CASA DE CAMPO ,261 - Facultad Derecho,Avenida Complutense nº 23,2,3660,45
1629,Rodríguez Lázaro,Monumento de la ciudad de Madrid,C Rodríguez Lázaro 1,350 - Calle de Ervigio,"Calle de Ervigio,",17,2581,32
1630,Roger de Flor,Monumento de la ciudad de Madrid,Pza Roger de Flor ,350 - Calle de Ervigio,"Calle de Ervigio,",17,121,1
1631,Rosalía de Castro,Monumento de la ciudad de Madrid,C Ballesta 13,17 - Carlos Cambronero,Plaza de Carlos Cambronero nº 2,1,158,1
1634,Rubén Darío,Monumento de la ciudad de Madrid,GLORIETA RUBEN DARIO 1,198 - Rubén Darío,Glorieta Rubén Darío 2,1,44,0
1632,Rubén Darío,Monumento de la ciudad de Madrid,CALLE SERRANO 31,105 - Serrano,Calle Serrano nº 54,2,69,0
1633,Rubén Darío,Monumento de la ciudad de Madrid,CALLE VENERAS 4,22 - Jacometrezo,Calle Jacometrezo nº 3,1,126,1
1635,Rubén Darío,Monumento de la ciudad de Madrid,GLORIETA RUBEN DARIO 4,198 - Rubén Darío,Glorieta Rubén Darío 2,1,84,1
1636,Ruinas de la ermita de san Pelayo y san Isidoro,Monumento de la ciudad de Madrid, ,85 - Puerta de Madrid,"Avenida de Menéndez Pelayo, 9,",5,103,1
1637,Ruinas parque del Espinillo,Monumento de la ciudad de Madrid, ,"383 - Avenida de la Perla, 35","Avenida de la Perla, 35,",2,979,12
1638,Ruperto Chapí,Monumento de la ciudad de Madrid,C Arenal 18,25b - Plaza de Celenque B,Plaza de Celenque nº 1,1,52,0
1639,Ruperto Chapí,Monumento de la ciudad de Madrid,Pº Duque de Fernán Núñez ,85 - Puerta de Madrid,"Avenida de Menéndez Pelayo, 9,",5,242,3
1640,Ría Chica,Monumento de la ciudad de Madrid, ,185 - Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra,3,217,2
1641,Ría Colegio Las Acacias,Monumento de la ciudad de Madrid,C General Ricardos 179,350 - Calle de Ervigio,"Calle de Ervigio,",17,1544,19
1642,Ría Grande de Don Quijote,Monumento de la ciudad de Madrid,Avda Doctor Federico Rubio y Galí ,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7,781,9
1643,Ría Norte y estanque de la Montaña Artificial del Retiro,Monumento de la ciudad de Madrid,Pº Duque de Fernán Núñez ,85 - Puerta de Madrid,"Avenida de Menéndez Pelayo, 9,",5,61,0
1644,Ría Sur y cascada de la Chopera,Monumento de la ciudad de Madrid,PARQUE RETIRO ,97 - Alcalá,Avenida de Menéndez Pelayo nº 3,3,167,2
1645,Ría del paseo de Colombia,Monumento de la ciudad de Madrid,PASEO COLOMBIA 1,102 - Velázquez,Calle Alcalá nº 95,1,235,2
1646,Ría del paseo de Venezuela,Monumento de la ciudad de Madrid,PARQUE RETIRO ,97 - Alcalá,Avenida de Menéndez Pelayo nº 3,3,167,2
1647,Ría semicircular,Monumento de la ciudad de Madrid,PARQUE CERRO PEÑABEL ,"304 - Calle Valle de Mena, 5","Calle Valle de Mena, 5,",5,660,8
1648,Ría y estanque Villarrosa,Monumento de la ciudad de Madrid,C Aconcagua ,526 - Plaza del Liceo,"Plaza del Liceo,",14,1847,23
1649,Ría y lago de El Capricho,Monumento de la ciudad de Madrid, ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,314,3
